song_id,song,artist,total_appearances,reentry_count,avg_gap_days,max_gap_days,avg_popularity,peak_popularity,best_position,album_type,is_explicit,duration_min,total_tracks,avg_momentum,peak_momentum,total_momentum,reentry_score,spike_score,recovery_score,fandom_intensity_score
Lovin On Me || Jack Harlow,Lovin On Me,Jack Harlow,15,0,0.0,0,99.0,99,39,single,True,2.31,1,0.5714285714285714,3.6,8.0,0.0,6.84,2.53,3.03
Loving You || Lim Young Woong,Loving You,Lim Young Woong,8,1,12.0,12,56.38,57,46,album,False,3.54,12,0.2571428571428571,1.4,1.7999999999999998,14.29,2.66,1.27,6.96
Lucky Girl Syndrome || ILLIT,Lucky Girl Syndrome,ILLIT,57,1,17.0,17,75.72,78,21,single,False,2.33,4,0.6178571428571429,4.4,34.6,14.29,8.37,10.13,11.18
MAESTRO || SEVENTEEN,MAESTRO,SEVENTEEN,13,0,0.0,0,76.69,82,14,album,False,3.32,33,1.0666666666666667,3.6,12.8,0.0,6.84,2.17,2.94
MANIAC || VIVIZ,MANIAC,VIVIZ,13,1,11.0,11,81.62,83,40,single,False,3.26,5,0.65,3.4,7.8,14.29,6.46,2.17,8.52
MELTDOWN || Travis Scott,MELTDOWN,Travis Scott,2,0,0.0,0,42.0,84,34,album,True,4.1,19,50.4,50.4,50.4,0.0,95.82,0.18,33.58
MEOW || MEOVV,MEOW,MEOVV,48,0,0.0,0,69.83,76,8,single,False,2.87,1,2.8638297872340424,29.6,134.6,0.0,56.27,8.5,21.82
MILLION DOLLAR BABY || Tommy Richman,MILLION DOLLAR BABY,Tommy Richman,118,0,0.0,0,90.78,99,12,single,False,2.59,2,0.8700854700854701,37.2,101.8,0.0,70.72,21.16,30.04
MODERN JAM || Travis Scott,MODERN JAM,Travis Scott,2,0,0.0,0,41.5,83,23,album,True,4.26,19,49.8,49.8,49.8,0.0,94.68,0.18,33.18
MY EYES || Travis Scott,MY EYES,Travis Scott,2,0,0.0,0,41.5,83,33,album,True,4.19,19,49.8,49.8,49.8,0.0,94.68,0.18,33.18
Magnetic || ILLIT,Magnetic,ILLIT,244,0,0.0,0,87.41,94,1,single,False,2.68,4,0.2839506172839506,6.6,69.0,0.0,12.55,43.94,15.38
Mantra || JENNIE,Mantra,JENNIE,46,0,0.0,0,87.15,89,2,single,True,2.28,1,0.2577777777777778,2.2,11.6,0.0,4.18,8.14,3.5
Mars || D.O.,Mars,D.O.,2,0,0.0,0,67.5,70,47,single,False,3.12,6,3.4,3.4,3.4,0.0,6.46,0.18,2.31
Melt Away || TAEYEON,Melt Away,TAEYEON,1,0,0.0,0,55.0,55,50,single,False,3.27,6,,,0.0,0.0,,0.0,
Melt Down || DAY6,Melt Down,DAY6,66,0,0.0,0,63.08,65,11,album,False,2.76,8,0.7630769230769231,6.0,49.6,0.0,11.41,11.75,6.93
Memories || RIIZE,Memories,RIIZE,43,0,0.0,0,73.3,76,24,single,False,2.97,1,0.8142857142857144,9.8,34.2,0.0,18.63,7.59,8.42
Midas Touch || KISS OF LIFE,Midas Touch,KISS OF LIFE,78,1,8.0,8,79.5,82,9,single,False,2.71,2,0.5116883116883116,9.0,39.4,14.29,17.11,13.92,15.18
Midnight Fiction || ILLIT,Midnight Fiction,ILLIT,17,0,0.0,0,73.35,76,24,single,False,2.8,4,0.725,2.4,11.6,0.0,4.56,2.89,2.32
Mine || aespa,Mine,aespa,2,0,0.0,0,59.5,63,29,album,False,3.22,10,4.2,4.2,4.2,0.0,7.98,0.18,2.84
Mistletoe || Justin Bieber,Mistletoe,Justin Bieber,3,0,0.0,0,92.0,92,35,album,False,3.05,15,0.0,0.0,0.0,0.0,0.0,0.36,0.09
Monet || Beenzino,Monet,Beenzino,8,0,0.0,0,49.25,53,17,album,True,2.64,18,1.0571428571428572,3.0,7.4,0.0,5.7,1.27,2.31
Monster || DAY6,Monster,DAY6,3,0,0.0,0,51.67,55,30,album,False,3.61,8,2.4,3.6,4.8,0.0,6.84,0.36,2.48
Moonlit Floor (Kiss Me) || LISA,Moonlit Floor (Kiss Me),LISA,9,0,0.0,0,89.22,90,24,single,False,2.6,1,0.575,2.4,4.6,0.0,4.56,1.45,1.96
Moonlit Floor || LISA,Moonlit Floor,LISA,8,0,0.0,0,87.5,89,21,single,False,2.6,1,1.8571428571428572,6.4,13.0,0.0,12.17,1.27,4.58
Mourning || Post Malone,Mourning,Post Malone,3,0,0.0,0,75.67,78,23,single,True,2.46,1,1.5,1.8,3.0,0.0,3.42,0.36,1.29
My Boy Only Breaks His Favorite Toys || Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,2,0,0.0,0,81.5,82,37,album,False,3.4,16,0.6,0.6,0.6,0.0,1.14,0.18,0.44
My Love Mine All Mine || Mitski,My Love Mine All Mine,Mitski,81,0,0.0,0,98.0,99,31,album,False,2.3,11,0.5225,3.6,41.8,0.0,6.84,14.47,6.01
My Name is Malguem || QWER,My Name is Malguem,QWER,64,0,0.0,0,58.62,61,8,single,False,3.14,8,0.6380952380952382,16.2,40.2,0.0,30.8,11.39,13.63
My Starry Love || Lim Young Woong,My Starry Love,Lim Young Woong,30,2,14.5,21,57.07,58,38,single,False,3.85,2,0.6413793103448276,3.6,18.6,28.57,6.84,5.24,15.13
My World || ILLIT,My World,ILLIT,15,0,0.0,0,72.07,75,29,single,False,1.79,4,0.6285714285714287,2.6,8.8,0.0,4.94,2.53,2.36
My You || Jung Kook,My You,Jung Kook,30,1,50.0,50,84.6,88,16,single,False,2.75,1,0.5448275862068965,2.4,15.8,14.29,4.56,5.24,8.62
NEMONEMO || YENA,NEMONEMO,YENA,24,0,0.0,0,66.67,69,31,single,False,2.97,3,1.1304347826086956,5.6,26.0,0.0,10.65,4.16,4.77
NEURON (with Gaeko & YOON MIRAE) || j-hope,NEURON (with Gaeko & YOON MIRAE),j-hope,6,0,0.0,0,78.67,82,34,single,False,4.55,6,1.4,2.4,7.0,0.0,4.56,0.9,1.82
NIGHT DANCER - BIG Naughty Remix || imase & BIG Naughty,NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,10,1,11.0,11,57.5,61,37,single,False,3.51,2,1.7777777777777777,4.0,16.0,14.29,7.6,1.63,8.78
NIGHT DANCER || imase,NIGHT DANCER,imase,48,0,0.0,0,76.88,79,12,album,False,3.51,7,0.3659574468085106,2.0,17.2,0.0,3.8,8.5,3.46
Nest || Lim Young Woong,Nest,Lim Young Woong,36,2,9.5,11,57.83,59,37,album,False,2.87,12,0.45142857142857146,3.2,15.8,28.57,6.08,6.33,15.14
Neva Play (feat. RM of BTS) || Megan Thee Stallion & RM,Neva Play (feat. RM of BTS),Megan Thee Stallion & RM,15,0,0.0,0,83.13,87,19,single,True,2.62,1,0.7857142857142857,2.4,11.0,0.0,4.56,2.53,2.23
Never Let Go || Jung Kook,Never Let Go,Jung Kook,88,0,0.0,0,86.69,90,9,single,False,2.78,1,0.32873563218390806,3.6,28.6,0.0,6.84,15.73,6.33
New Jeans || NewJeans,New Jeans,NewJeans,281,5,32.4,63,81.68,89,3,single,False,1.82,2,0.5521428571428572,48.2,154.6,71.43,91.63,50.63,73.3
New Woman (feat. ROSALÍA) || LISA & ROSALÍA,New Woman (feat. ROSALÍA),LISA & ROSALÍA,29,0,0.0,0,86.45,92,16,single,False,3.0,1,2.2857142857142856,48.0,64.0,0.0,91.25,5.06,33.2
Nice Guy || BOYNEXTDOOR,Nice Guy,BOYNEXTDOOR,20,0,0.0,0,66.3,70,19,album,False,2.75,7,1.2315789473684209,8.4,23.4,0.0,15.97,3.44,6.45
No Boss (Feat. Dok2) || E SENS,No Boss (Feat. Dok2),E SENS,1,0,0.0,0,38.0,38,32,album,False,3.13,13,,,0.0,0.0,,0.0,
No Tomorrow - Spotify Singles || Various Artists,No Tomorrow - Spotify Singles,Various Artists,3,0,0.0,0,41.0,48,46,single,False,5.13,1,6.2,10.6,12.4,0.0,20.15,0.36,7.14
"Noid || Tyler, The Creator",Noid,"Tyler, The Creator",2,0,0.0,0,81.0,82,36,single,True,4.74,1,0.0,0.0,0.0,0.0,0.0,0.18,0.04
Not Like Us || Kendrick Lamar,Not Like Us,Kendrick Lamar,53,2,14.5,21,95.92,98,24,single,True,4.57,1,0.726923076923077,5.0,37.800000000000004,28.57,9.51,9.4,17.11
OMG (FRNK Remix) || NewJeans,OMG (FRNK Remix),NewJeans,2,0,0.0,0,56.5,59,43,album,False,3.51,12,5.8,5.8,5.8,0.0,11.03,0.18,3.91
OMG || NewJeans,OMG,NewJeans,317,6,31.0,55,86.28,93,10,single,False,3.54,2,0.34620253164556963,8.8,109.4,85.71,16.73,57.14,54.42
Off The Record || IVE,Off The Record,IVE,28,0,0.0,0,73.07,79,19,single,False,3.15,1,2.259259259259259,38.6,61.0,0.0,73.38,4.88,26.9
On the street (Feat. ASH ISLAND) || Leellamarz,On the street (Feat. ASH ISLAND),Leellamarz,1,0,0.0,0,36.0,36,49,single,False,3.49,1,,,0.0,0.0,,0.0,
One Kiss || RIIZE,One Kiss,RIIZE,1,0,0.0,0,50.0,50,47,single,False,3.53,5,,,0.0,0.0,,0.0,
"Our Blues, Our Life || Lim Young Woong","Our Blues, Our Life",Lim Young Woong,362,3,14.0,20,59.04,63,16,album,False,3.46,12,0.4664819944598338,5.4,168.4,42.86,10.27,65.28,37.06
Overdrive || Post Malone,Overdrive,Post Malone,1,0,0.0,0,76.0,76,47,single,False,2.46,1,,,0.0,0.0,,0.0,
PAID || Kanye West & Ty Dolla $ign,PAID,Kanye West & Ty Dolla $ign,1,0,0.0,0,79.0,79,27,album,True,3.25,16,,,0.0,0.0,,0.0,
PALISADE || YANGHONGWON,PALISADE,YANGHONGWON,2,0,0.0,0,37.0,39,42,album,False,1.47,8,5.2,5.2,5.2,0.0,9.89,0.18,3.51
PARANOIA || HEARTSTEEL & League of Legends & BAEKHYUN,PARANOIA,HEARTSTEEL & League of Legends & BAEKHYUN,3,0,0.0,0,80.67,83,37,single,False,3.31,1,1.5,1.8,3.0,0.0,3.42,0.36,1.29
POWER || G-DRAGON,POWER,G-DRAGON,26,0,0.0,0,71.81,74,3,single,False,2.39,1,0.496,3.0,12.4,0.0,5.7,4.52,3.12
PROMOTION || ¥$ & Kanye West & Ty Dolla $ign,PROMOTION,¥$ & Kanye West & Ty Dolla $ign,3,0,0.0,0,47.0,72,33,album,True,2.65,16,22.799999999999997,43.8,45.599999999999994,0.0,83.27,0.36,29.23
Paint The Town Red || Doja Cat,Paint The Town Red,Doja Cat,65,0,0.0,0,87.83,100,13,single,True,3.86,1,1.096875,14.4,70.2,0.0,27.38,11.57,12.48
People Pt.2 (feat. IU) || Agust D,People Pt.2 (feat. IU),Agust D,144,1,25.0,25,76.61,82,14,album,False,3.57,10,0.4867132867132867,4.0,69.6,14.29,7.6,25.86,14.84
Perfect Night || LE SSERAFIM,Perfect Night,LE SSERAFIM,278,1,51.0,51,85.61,91,9,single,False,2.65,1,0.5068592057761733,43.2,140.4,14.29,82.13,50.09,46.98
Pierrot || LE SSERAFIM,Pierrot,LE SSERAFIM,4,0,0.0,0,68.25,71,21,single,False,2.84,5,1.4000000000000001,2.4,4.2,0.0,4.56,0.54,1.73
Pink Hoodie || aespa,Pink Hoodie,aespa,1,0,0.0,0,50.0,50,50,single,False,2.44,6,,,0.0,0.0,,0.0,
Please Don't Change (feat. DJ Snake) || Jung Kook,Please Don't Change (feat. DJ Snake),Jung Kook,102,1,8.0,8,83.86,87,9,album,False,2.44,11,1.1762376237623762,45.6,118.8,14.29,86.69,18.26,40.62
Please Please Please || Sabrina Carpenter,Please Please Please,Sabrina Carpenter,56,3,9.7,13,94.75,99,16,single,True,3.11,2,0.7745454545454545,9.2,42.6,42.86,17.49,9.95,25.75
Pleasure Shop || KEY,Pleasure Shop,KEY,4,0,0.0,0,52.25,57,40,single,False,3.04,6,2.8666666666666667,4.8,8.6,0.0,9.13,0.54,3.33
Polaroid || Lim Young Woong,Polaroid,Lim Young Woong,509,0,0.0,0,62.12,68,10,single,False,3.44,2,0.29448818897637796,3.6,149.6,0.0,6.84,91.86,25.36
Popcorn || D.O.,Popcorn,D.O.,1,0,0.0,0,65.0,65,36,single,False,3.02,1,,,0.0,0.0,,0.0,
Popular (with Playboi Carti & Madonna) || The Weeknd & Playboi Carti & Madonna,Popular (with Playboi Carti & Madonna),The Weeknd & Playboi Carti & Madonna,1,0,0.0,0,75.0,75,42,single,True,3.59,1,,,0.0,0.0,,0.0,
Promise || Jimin,Promise,Jimin,35,1,8.0,8,77.09,78,31,single,False,2.52,1,0.8352941176470587,4.8,28.4,14.29,9.13,6.15,10.45
Pump Up The Volume! || PLAVE,Pump Up The Volume!,PLAVE,40,1,33.0,33,63.88,67,13,single,False,2.99,1,0.7487179487179487,9.6,29.2,14.29,18.25,7.05,13.87
Push Ups || Drake,Push Ups,Drake,1,0,0.0,0,84.0,84,36,single,True,3.88,1,,,0.0,0.0,,0.0,
Queencard || (G)I-DLE,Queencard,(G)I-DLE,119,1,13.0,13,87.71,90,4,single,False,2.69,6,0.3135593220338983,2.4,37.0,14.29,4.56,21.34,12.65
ROLEX || YANGHONGWON,ROLEX,YANGHONGWON,2,0,0.0,0,42.0,44,27,single,False,2.97,1,2.4,2.4,2.4,0.0,4.56,0.18,1.64
Radio || Beenzino,Radio,Beenzino,2,0,0.0,0,39.0,42,45,album,True,3.52,18,3.6,3.6,3.6,0.0,6.84,0.18,2.44
"Rah Tah Tah || Tyler, The Creator",Rah Tah Tah,"Tyler, The Creator",1,0,0.0,0,81.0,81,50,album,True,2.76,14,,,0.0,0.0,,0.0,
Rainbow || Lim Young Woong,Rainbow,Lim Young Woong,405,1,13.0,13,58.92,63,14,album,False,3.27,12,0.4559405940594059,5.8,184.2,14.29,11.03,73.06,27.84
Rainy Days || V,Rainy Days,V,206,2,9.0,10,85.48,93,4,single,False,2.99,2,0.3882926829268292,4.8,79.6,28.57,9.13,37.07,23.89
Rebirth (Intro) || Jimin,Rebirth (Intro),Jimin,129,0,0.0,0,75.0,79,7,album,False,2.41,7,0.26875,2.4,34.4,0.0,4.56,23.15,7.38
Right Now (Instrumental) || NewJeans,Right Now (Instrumental),NewJeans,2,0,0.0,0,23.0,46,46,single,False,2.67,4,27.6,27.6,27.6,0.0,52.47,0.18,18.41
Right Now || NewJeans,Right Now,NewJeans,57,0,0.0,0,74.07,78,4,single,False,2.67,4,0.9964285714285713,36.0,55.8,0.0,68.44,10.13,26.49
Rockin' Around The Christmas Tree || Brenda Lee,Rockin' Around The Christmas Tree,Brenda Lee,4,0,0.0,0,98.0,98,21,album,False,2.1,12,2.2666666666666666,6.8,6.8,0.0,12.93,0.54,4.66
Rockstar || LISA,Rockstar,LISA,19,0,0.0,0,88.0,92,31,single,True,2.3,5,0.8111111111111111,3.8,14.6,0.0,7.22,3.25,3.34
Roller Coaster || NMIXX,Roller Coaster,NMIXX,15,0,0.0,0,74.6,77,35,single,False,2.99,1,0.7714285714285715,2.8,10.8,0.0,5.32,2.53,2.49
Rumble || KingLee,Rumble,KingLee,1,0,0.0,0,51.0,51,29,single,True,2.91,1,,,0.0,0.0,,0.0,
Runaway || Kanye West,Runaway,Kanye West,11,0,0.0,0,81.0,81,27,album,True,9.13,13,0.8,4.0,8.0,0.0,7.6,1.81,3.11
Running Wild || Jin,Running Wild,Jin,11,0,0.0,0,74.91,84,2,single,False,2.53,6,1.64,4.0,16.4,0.0,7.6,1.81,3.11
S-Class || Stray Kids,S-Class,Stray Kids,31,0,0.0,0,84.87,89,16,album,False,3.26,12,1.0,14.4,30.0,0.0,27.38,5.42,10.94
SAHARA || YANGHONGWON,SAHARA,YANGHONGWON,2,0,0.0,0,38.5,41,33,album,False,3.06,8,3.0,3.0,3.0,0.0,5.7,0.18,2.04
SHEESH || BABYMONSTER,SHEESH,BABYMONSTER,91,0,0.0,0,85.26,88,9,single,False,2.84,7,0.4444444444444444,6.4,40.0,0.0,12.17,16.27,8.33
SIRENS || Travis Scott,SIRENS,Travis Scott,1,0,0.0,0,0.0,0,42,album,True,3.41,19,,,0.0,0.0,,0.0,
SLIDE || ¥$ & Kanye West & Ty Dolla $ign,SLIDE,¥$ & Kanye West & Ty Dolla $ign,3,0,0.0,0,47.0,72,22,album,True,3.3,16,21.599999999999998,41.4,43.199999999999996,0.0,78.71,0.36,27.64
SOS (Prod. Marshmello) || SEVENTEEN,SOS (Prod. Marshmello),SEVENTEEN,2,0,0.0,0,0.0,0,49,album,False,3.2,8,0.0,0.0,0.0,0.0,0.0,0.18,0.04
SOS || KANGDANIEL,SOS,KANGDANIEL,49,1,8.0,8,73.41,76,24,single,False,3.2,5,0.5458333333333333,3.0,26.2,14.29,5.7,8.68,9.88
SPOT! || ZICO,SPOT!,ZICO,3,0,0.0,0,73.33,77,2,single,False,2.8,1,2.8,3.8,5.6,0.0,7.22,0.36,2.62
SPOT! || ZICO & JENNIE,SPOT!,ZICO & JENNIE,87,1,88.0,88,83.83,87,2,single,False,2.8,1,0.24651162790697673,2.0,21.2,14.29,3.8,15.55,10.93
STARS || Kanye West & Ty Dolla $ign,STARS,Kanye West & Ty Dolla $ign,2,0,0.0,0,82.5,84,18,album,True,1.92,16,1.8,1.8,1.8,0.0,3.42,0.18,1.24
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) || MAX,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,31,2,16.0,16,73.32,76,28,album,False,2.89,12,1.4133333333333333,18.0,42.4,28.57,34.22,5.42,24.76
Salty & Sweet || aespa,Salty & Sweet,aespa,1,0,0.0,0,74.0,74,46,single,False,3.36,6,,,0.0,0.0,,0.0,
Sandman || Beenzino,Sandman,Beenzino,3,0,0.0,0,42.0,44,38,album,True,2.93,18,1.8,3.6,3.6,0.0,6.84,0.36,2.48
Santa Tell Me || Ariana Grande,Santa Tell Me,Ariana Grande,11,0,0.0,0,95.91,96,11,single,False,3.4,1,1.46,6.8,14.6,0.0,12.93,1.81,4.98
Saturn || SZA,Saturn,SZA,10,0,0.0,0,89.9,91,43,single,False,3.1,5,0.6888888888888889,2.2,6.2,0.0,4.18,1.63,1.87
Say Less || TAEMIN,Say Less,TAEMIN,1,0,0.0,0,51.0,51,48,single,False,2.59,7,,,0.0,0.0,,0.0,
Scenery || V,Scenery,V,12,0,0.0,0,67.42,77,23,single,False,4.9,1,4.309090909090909,39.6,47.4,0.0,75.29,1.99,26.85
See that? || NMIXX,See that?,NMIXX,24,0,0.0,0,64.62,70,21,single,False,3.05,6,2.1391304347826083,32.4,49.199999999999996,0.0,61.6,4.16,22.6
Serendipity - Full Length Edition || BTS,Serendipity - Full Length Edition,BTS,1,0,0.0,0,72.0,72,35,album,False,4.61,26,,,0.0,0.0,,0.0,
Set Me Free Pt.2 || Jimin,Set Me Free Pt.2,Jimin,429,0,0.0,0,81.1,87,4,single,True,3.35,1,0.12897196261682245,4.8,55.2,0.0,9.13,77.4,22.55
Set The Tone || aespa,Set The Tone,aespa,5,0,0.0,0,60.8,64,15,album,False,3.38,10,2.25,4.8,9.0,0.0,9.13,0.72,3.38
Seven (David Guetta Remix) || Jung Kook & Latto & David Guetta,Seven (David Guetta Remix),Jung Kook & Latto & David Guetta,4,0,0.0,0,44.5,62,23,single,True,2.62,2,12.399999999999999,34.8,37.199999999999996,0.0,66.16,0.54,23.29
Seven (feat. Latto) (Alesso Remix) || Jung Kook & Latto,Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,8,0,0.0,0,59.5,72,17,single,True,2.71,4,8.057142857142857,37.0,56.4,0.0,70.34,1.27,24.94
Seven (feat. Latto) (Band Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,10,0,0.0,0,74.5,77,16,single,False,3.16,5,1.2444444444444445,5.8,11.2,0.0,11.03,1.63,4.27
Seven (feat. Latto) (Explicit Ver.) || Jung Kook,Seven (feat. Latto) (Explicit Ver.),Jung Kook,385,0,0.0,0,86.24,91,1,album,True,3.06,11,0.19791666666666666,43.8,76.0,0.0,83.27,69.44,46.5
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,109,0,0.0,0,98.3,100,1,single,True,3.07,3,0.08333333333333333,5.4,9.0,0.0,10.27,19.53,8.48
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,2,0,0.0,0,92.0,93,1,single,True,3.07,3,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto,Seven (feat. Latto) (Instrumental),Jung Kook & Latto,20,0,0.0,0,80.2,81,9,single,False,3.07,3,0.7684210526315789,6.0,14.6,0.0,11.41,3.44,4.85
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Instrumental),Jung Kook & Latto & BTS,2,0,0.0,0,78.0,79,12,single,False,3.07,3,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Lofi Mix) || Jung Kook & Latto,Seven (feat. Latto) (Lofi Mix),Jung Kook & Latto,2,0,0.0,0,67.0,68,47,single,False,3.35,7,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Summer Mix) || Jung Kook & Latto,Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,6,0,0.0,0,72.67,78,12,single,False,3.36,5,2.84,5.6,14.2,0.0,10.65,0.9,3.95
Sexy In The Air || TAEMIN,Sexy In The Air,TAEMIN,11,0,0.0,0,55.36,65,27,single,False,3.25,7,4.54,30.0,45.4,0.0,57.03,1.81,20.41
She Smiled || DAY6,She Smiled,DAY6,5,0,0.0,0,53.0,56,27,album,False,3.38,8,1.35,3.0,5.4,0.0,5.7,0.72,2.17
"Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim) || IU","Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim)",IU,4,0,0.0,0,58.0,58,19,single,False,3.78,5,0.9333333333333332,1.6,2.8,0.0,3.04,0.54,1.2
Shoong! (feat. LISA of BLACKPINK) || TAEYANG,Shoong! (feat. LISA of BLACKPINK),TAEYANG,10,0,0.0,0,78.9,79,40,album,False,3.42,6,0.3777777777777778,1.6,3.4000000000000004,0.0,3.04,1.63,1.47
Shopper || IU,Shopper,IU,18,0,0.0,0,69.0,74,15,single,False,3.6,5,0.9529411764705882,7.2,16.2,0.0,13.69,3.07,5.56
Shot Glass of Tears || Jung Kook,Shot Glass of Tears,Jung Kook,45,2,36.0,62,82.96,86,13,album,False,2.79,11,1.5454545454545454,45.0,68.0,28.57,85.55,7.96,43.36
Shxtty Game || DAY6,Shxtty Game,DAY6,3,0,0.0,0,50.0,53,42,album,False,3.16,8,2.1,3.0,4.2,0.0,5.7,0.36,2.08
Siren || RIIZE,Siren,RIIZE,32,0,0.0,0,65.44,68,8,single,False,2.47,1,0.5935483870967743,4.2,18.400000000000002,0.0,7.98,5.61,4.2
Skrr (feat. GISELLE) || HAON,Skrr (feat. GISELLE),HAON,5,0,0.0,0,55.4,58,30,single,False,3.65,1,1.5,3.6,6.0,0.0,6.84,0.72,2.57
Slime You Out (feat. SZA) || Drake & SZA,Slime You Out (feat. SZA),Drake & SZA,2,0,0.0,0,37.5,75,37,single,True,5.17,1,46.6,46.6,46.6,0.0,88.59,0.18,31.05
Slow Dance (feat. Sofia Carson) || Jimin,Slow Dance (feat. Sofia Carson),Jimin,129,0,0.0,0,76.02,80,6,album,False,3.14,7,0.2375,2.4,30.4,0.0,4.56,23.15,7.38
Slow Dancing (FRNK Remix) || V,Slow Dancing (FRNK Remix),V,2,0,0.0,0,0.0,0,44,single,False,2.83,2,0.0,0.0,0.0,0.0,0.0,0.18,0.04
Slow Dancing (Piano Ver.) || V,Slow Dancing (Piano Ver.),V,60,1,54.0,54,85.53,87,13,single,False,3.13,6,0.39661016949152544,3.2,23.400000000000002,14.29,6.08,10.67,10.51
Slow Dancing || V,Slow Dancing,V,235,0,0.0,0,90.42,96,4,single,False,3.12,6,0.347008547008547,3.2,81.2,0.0,6.08,42.31,12.71
Small girl (feat. D.O.) || Lee Young Ji,Small girl (feat. D.O.),Lee Young Ji,93,0,0.0,0,73.28,77,4,single,False,3.16,6,0.8652173913043477,28.2,79.6,0.0,53.61,16.64,22.92
Smart || LE SSERAFIM,Smart,LE SSERAFIM,118,0,0.0,0,77.31,87,9,single,False,2.77,5,0.8256410256410256,28.2,96.6,0.0,53.61,21.16,24.05
Smeraldo Garden Marching Band (feat. Loco) || Jimin,Smeraldo Garden Marching Band (feat. Loco),Jimin,129,0,0.0,0,75.64,80,3,album,False,3.05,7,0.1359375,2.4,17.4,0.0,4.56,23.15,7.38
Smeraldo Garden Marching Band (feat. Loco) || Jimin & Loco,Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,20,0,0.0,0,89.5,93,2,single,False,3.05,1,0.47368421052631576,2.4,9.0,0.0,4.56,3.44,2.46
"Smoke (Prod. Dynamicduo, Padi) || Various Artists","Smoke (Prod. Dynamicduo, Padi)",Various Artists,46,0,0.0,0,71.09,78,18,single,False,3.49,4,0.8488888888888889,8.0,38.2,0.0,15.21,8.14,7.36
